company_name,original_domain,domain,domain_status,domain_confidence,heavy_equipment,category,qualification_source,us_based,notes,issue_flagged
Zimmer's Sales & Service,zimmerssales.com,zimmerssales.com,original,,Unsure,unknown,AI review (name/domain),,"ambiguous name, not verified",
"Zip's Truck Equipment, Inc.",zips.com,zips.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
15101 Flagstaff Ave Tool Rental,,,not_researched,,Unsure,general tool rental,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
212 Equipment,212equipment.com,212equipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
3550 124th Ave NW Tool Rental,,,not_researched,,Unsure,general tool rental,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",missing
360 Rents,360rents.net,360rents.net,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
55 Party Rental,55partyrental.com,55partyrental.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
A -1 Outdoor Power,a1outdoorpower.com,a1outdoorpower.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""outdoors""",
A A Equipment Company Inc.,aaequipmentcompany.com,aaequipmentcompany.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"A & C Farm Service, Inc.",acfarmservice.com,acfarmservice.com,original,,Yes,,name/domain rules,,"name: ""farm""",
A to Z Rental Center,a-zrental.com,a-zrental.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""rental (center|centre)""",domain does not match name
A To Z Rental Center,atozrentalmankato.com,atozrentalmankato.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""rental (center|centre)""",domain does not match name
A1 Rent It,a1rentit.com,a1rentit.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
AAA Equipment Center,aaaequipmentcenter.com,aaaequipmentcenter.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
ABC Rentals Inc,abcrentalsinc.com,abcrentalsinc.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
ABM Truck Equipment,abmequip.com,abmequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Acme Tools,acmetools.com,acmetools.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Action Rental,actionrentalmn.com,actionrentalmn.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Adams Construction Equipment Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""construction equip""",missing
Advance Shoring Company,advancecos.com,advancecos.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
"Advance Triwest Equipment, LTD.",advance-triwest.com,advance-triwest.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Aero Material Handling Inc,aero-material.com,aero-material.com,original,,Yes,,name/domain rules,,"name: ""material handling""",
Aggressive Towing & Recovery,aggressivetow.com,aggressivetow.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""towing""",
Air Management Supply,airmanagementsupply.com,airmanagementsupply.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
AK Material Handling Systems,akequipment.com,akequipment.com,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""material handling""",domain does not match name
"Aldrich Tractor, Inc.",aldrichtractor.net,aldrichtractor.net,original,,Yes,,name/domain rules,,"name: ""tractors""",
"Alift Crane, Inc.",aliftcrane.com,aliftcrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
"All Rental, Inc.",allrentalus.com,allrentalus.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
All Seasons Power & Sport,allseasonspowerandsportmn.com,allseasonspowerandsportmn.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""sports""",
All Seasons Rental,allseasonsrental-mn.com,allseasonsrental-mn.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
All Seasons Towing,allseasontowingco.com,allseasontowingco.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""towing""",
"All Test & Inspection, Inc.",alltest.com,alltest.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
All The Things Rentals,allthethingsrentals.com,allthethingsrentals.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Allstate Crane,allstatecrane.com,allstatecrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Althoff Crane Service Inc.,althoffcraneservice.com,althoffcraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
American Hi Tech Rentals,ahtr.com,ahtr.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Andy's Towing,andystowing.com,andystowing.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""towing""",
Anoka Independent Grain,,,not_researched,,No,grain/feed,AI review (name only),,domain not researched (web-search limit reached); no clear signal in name,missing
Antique Farm Equipment,antiquefarmequipment.com,antiquefarmequipment.com,original,,Yes,,name/domain rules,,"name: ""farm equip""",
Anytime Restoration Fire & Water Damage Woodbury,anytimerestoration.com,anytimerestoration.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
APi Supply Lifts,apisupplyinc.com,apisupplyinc.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
Après Event Dècor and Tent Rental,apresparty.com,apresparty.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
"Arnold's of St. Cloud, Inc.",arnoldsinc.com,arnoldsinc.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Arrow Lift,arrowlift.com,arrowlift.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
Astleford International & Isuzu,astleford.com,astleford.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Attach2 / SnowWolf,snowwolfplows.com,snowwolfplows.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Auto Truck & Equipment Inc.,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment"" qualified by non-heavy term ""auto(motive)""",missing
Autonomous Tractor Corporation,autonomoustractor.com,autonomoustractor.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
AV For You,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""av""",missing
AV Mankato Rental,avmankato.com,avmankato.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""av""",
B P's Crane Services,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Barahona Rental Celebrations LLC,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""celebrat""",missing
Baraka Party Rentals,barakaparty.com,barakaparty.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
"Barker-Hammer Associates, Inc.",barker-hammer.com,barker-hammer.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
BENCO JMC Equipment,bencoequipment.com,bencoequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Benfer Equipment & Supply Inc,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
Bennett Material Handling,bmhmn.com,bmhmn.com,original,,Yes,,name/domain rules,,"name: ""material handling""",
Bert's Truck Equipment Inc,bertstruck.com,bertstruck.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"Bert's Truck Equipment of Moorhead, Inc",bertsonline.com,bertsonline.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Best Rentals Inc,bestrentalsinc.com,bestrentalsinc.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Big Rig Companies,bigrigcompanies.com,bigrigcompanies.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Binkley Equipment,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
Birnstengel Equipment,bespower.com,bespower.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Blackhawk Equipment,blackhawkequip.com,blackhawkequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Blaine Brothers,blainebrothers.com,blainebrothers.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Bloomington Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
"Bobcat of Duluth, Inc.",bobcatofduluth.com,bobcatofduluth.com,original,,Yes,,name/domain rules,,"name: ""bob cat""",
Bobcat of the Coulee Region,bobcatofthecouleeregion.com,bobcatofthecouleeregion.com,original,,Yes,,name/domain rules,,"name: ""bob cat""",
Bowman Aerial Equipment Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""aerial""",missing
Brainerd General Rental,brainerdrental.com,brainerdrental.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
BRC Rentals,brcrentals.com,brcrentals.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Broadway Tent & Event,broadwaytent.com,broadwaytent.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
Builders Equipment Company,buildersequipmentcompany.com,buildersequipmentcompany.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Burnsville Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
"C & S Supply Co., Inc.",candssupply.com,candssupply.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Carlson Wholesale,carlsonwholesale.net,carlsonwholesale.net,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Carpenter's Small Engine,smallenginemn.com,smallenginemn.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""small engine""",
Carr's Party Rental,carrspartyrental.com,carrspartyrental.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""party""",
CaterRent,caterrent.com,caterrent.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Ceco Limited,cecoltd.com,cecoltd.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Central Equipment Sales,central-equipment.com,central-equipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Central Rental,centralrentals.net,centralrentals.net,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Clarey's Safety Equipment,clareys.com,clareys.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
CM2 formerly Toll Gas & Welding Supply,mplso2.com,mplso2.com,not_researched,,No,welding gas supply,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""suppl(y|ies)""",domain does not match name
"Collins Brothers Towing of St.Cloud, Inc.",collinsbrostowing.com,collinsbrostowing.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""towing""",
Columbia Heights Rental,columbiaheightsrental.com,columbiaheightsrental.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Complete Coverage Rental,completecoveragerental.com,completecoveragerental.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
"Construction Materials, Inc.",constructionmaterialsinc.com,constructionmaterialsinc.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Construction Midwest Inc.,constructionmidwest.com,constructionmidwest.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Continental Crane and Equipment Service,cranework.us,cranework.us,original,,Yes,,name/domain rules,,"name: ""cranes""",
Continental Lift Truck,cltcorp.com,cltcorp.com,original,,Yes,,name/domain rules,,"name: ""lift trucks""",
Contreras Construction Equipment Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""construction equip""",missing
Corner Home Medical,cornermedical.com,cornermedical.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""medical""",
County Line Equipment Rental,countylinerental.com,countylinerental.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Courage Equipment,courageequipment.com,courageequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Crane and Tree Service,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Crane Service & Boom Truck Rental | Minnesota,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Crawford's Equipment Inc,crawfordsequip.com,crawfordsequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Crown Rental,crownrent.com,crownrent.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Crysteel Truck Equipment,crysteeltruck.com,crysteeltruck.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
CSE Mobile Small Engine Repair,cserepair.com,cserepair.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""small engine""",
D&T Equipment,dandtequipment.com,dandtequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"Dakota Truck CO., LLC",dakotatruck.net,dakotatruck.net,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Dave Syverson Truck Center,syversontruck.com,syversontruck.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Denny's Lawn and Garden,dennyslawn.com,dennyslawn.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""lawn""",
Ditch Witch Of Minnesota And Iowa,ditchwitchmnia.com,ditchwitchmnia.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
DJ Ultralight Entertainment LLC,djultralight.com,djultralight.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""dj""",
DL Trailers - Rochester,dltrailerstore.com,dltrailerstore.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Dordal Farm Equipment,dordalfarmequipment.com,dordalfarmequipment.com,original,,Yes,,name/domain rules,,"name: ""farm equip""",
Dougs Power Equipment,dougspowerequipment.com,dougspowerequipment.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""power equipment""",
DSTI - Dynamic Sealing Technologies,dsti.com,dsti.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Duluth Crane,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Duluth Equipment Rental,duluthequiprent.com,duluthequiprent.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Duluth Lawn and Sport,duluthlawnandsport.com,duluthlawnandsport.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""lawn""",
Eagan Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
Eden Prairie HVAC Repair,edenprairiehvacrepair.site,edenprairiehvacrepair.site,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""hvac""",
Eden Prairie Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
Edina Portable Toilet Rentals,,,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""porta""",missing
"Edney Distributing Company, Inc.",edneyco.com,edneyco.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Egg|Plant Urban Farm Supply,eggplantsupply.com,eggplantsupply.com,original,,Yes,,name/domain rules,,"name: ""farm""",
"Eide Machinery Sales, Inc.",eidemachinery.com,eidemachinery.com,original,,Yes,,name/domain rules,,"name: ""machinery""",
EJ Equipment,ejequipment.com,ejequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Elevate Equipment Rental,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""equipment""",missing
Elite Lift Truck Inc,elitelift.com,elitelift.com,original,,Yes,,name/domain rules,,"name: ""lift trucks""",
Engine Power Inc,enginepower.com,enginepower.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Epic Event Rental,epicrentalmn.com,epicrentalmn.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
EQUIPMENT,equipment.store,equipment.store,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment of America,equipmentofamerica.com,equipmentofamerica.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Equipment Rental Company,equipmentrentalco.com,equipmentrentalco.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Erickson Crane Services,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Esch Construction Supply,eschsupply.com,eschsupply.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Event Sound & Lighting,eventsoundandlighting.com,eventsoundandlighting.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
Everest Material Handling,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""material handling""",missing
F M Truck Sales,fmtrucksales.net,fmtrucksales.net,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Fagen Crane & Equipment,fagencraneequip.com,fagencraneequip.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Fairchild Equipment,fairchildequipment.com,fairchildequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Farm-Rite Equipment Inc,farmriteequip.com,farmriteequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
First Western Equipment Finance,firstwesternef.com,firstwesternef.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Fleet Farm,fleetfarm.com,fleetfarm.com,original,,Yes,,name/domain rules,,"name: ""farm""",
"Forest Products Supply, Inc",forestproductssupply.com,forestproductssupply.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Forestry Equipment Sales,forestryequipmentsales.com,forestryequipmentsales.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Forklifts of Minnesota,forkliftsofmn.com,forkliftsofmn.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Forklifts of South Dakota,forkliftsofsd.com,forkliftsofsd.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Forklifts of Wisconsin,forkliftsofwi.com,forkliftsofwi.com,original,,Yes,,name/domain rules,,"name: ""fork lifts""",
Front Row FX,frontrowfx.com,frontrowfx.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Frontier Precision,frontierprecision.com,frontierprecision.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
G & K Event Rentals,gkrental.com,gkrental.com,not_researched,,No,,name/domain rules,,"domain not researched (web-search limit reached); name: non-heavy-equipment term ""events""",domain does not match name
Garlock Equipment Co.,garlockequip.com,garlockequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Gary Carlson Equipment,garycarlsonequip.com,garycarlsonequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Gathered. Boutique Rentals & Events,gatheredrentalsandevents.com,gatheredrentalsandevents.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""events""",
General Rental Centers,generalrentalstcloud.com,generalrentalstcloud.com,original,,Yes,,name/domain rules,,"name: ""rental (center|centre)""",
Gerlach Service Inc,gerlachservice.com,gerlachservice.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
GMS Industrial Supplies Inc.,wrighttool.com,wrighttool.com,not_researched,,No,industrial supply,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""suppl(y|ies)""",domain does not match name
Greenwald Farm Center Inc.,greenwaldfarmcenter.com,greenwaldfarmcenter.com,original,,Yes,,name/domain rules,,"name: ""farm""",
Gruber's Power Equipment,gruberspower.com,gruberspower.com,original,,No,,name/domain rules,,"name: ""equipment"" qualified by non-heavy term ""power equipment""",
Haf Equipment,hafequipment.com,hafequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Hammerhead Attachments,hammerheadattachments.com,hammerheadattachments.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Hanson Implement & Storage,hansonoutdoorstorage.com,hansonoutdoorstorage.com,original,,Yes,,name/domain rules,,"name: ""implements""",
Hawk & Son's Inc,hawkandsonsinc.com,hawkandsonsinc.com,original,,Unsure,unknown,AI review (name/domain),,"ambiguous name, not verified",
Hayden-Murphy Equipment Company,hayden-murphy.com,hayden-murphy.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
HD Clearing Equipment,hdclearingequipment.com,hdclearingequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Heavy Equipment Repair Incorporated,heavyequiprepair.com,heavyequiprepair.com,original,,Yes,,name/domain rules,,"name: ""heavy""",
Heavy Hitch,heavyhitch.com,heavyhitch.com,original,,Yes,,name/domain rules,,"name: ""heavy""",
Heavy Machinery Sales,hmsales.com,hmsales.com,original,,Yes,,name/domain rules,,"name: ""machinery""",
Heikes Equipment Inc,heikesequipment.com,heikesequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"Hejny Rentals, Inc.",hejnyrental.com,hejnyrental.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
"HERC-U-LIFT, INC.",herculift.com,herculift.com,original,,Yes,,name/domain rules,,"name: ""lifts""",
Hesco,,,not_researched,,Unsure,unknown,AI review (name only),,domain not researched (web-search limit reached); no clear signal in name,missing
Highway 55 Rental & Sales Inc.,55rental.com,55rental.com,not_researched,,Yes,general equipment rental,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""rent(al)s""",domain does not match name
Hoigaard's,hoigaards.com,hoigaards.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Horizon Equipment,horizonequipment.com,horizonequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Hotsy Minnesota,hotsymn.com,hotsymn.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Hugo Equipment Company,hugoequipment.com,hugoequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Hunter Crane,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
"Hustler Equipment USA, Inc.",hustlerequipment.com,hustlerequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Igloo Rentals LLC,igloorentals.com,igloorentals.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Ignite Attachments,igniteattachments.com,igniteattachments.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Industrial Crane & Equipment,industrialcraneusa.com,industrialcraneusa.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Interstate Power Systems,powersystems.istate.com,powersystems.istate.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
IPS CRANES,ipscranes.com,ipscranes.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Iron Horse Crane Service,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""cranes""",missing
Ironhide Equipment,goironhide.com,goironhide.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
"J.C. Younger Company, Inc. Chillers JCY, INC.",jcyounger.com,jcyounger.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
JB Tractors LLC,jbtractors.com,jbtractors.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
Jensen Tractor Sales & Service LLC,jensentractorsales.com,jensentractorsales.com,original,,Yes,,name/domain rules,,"name: ""tractors""",
Joe Welch Equipment,joewelcheq.com,joewelcheq.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Johnson brothers crane service dba Erickson crane,craneservicemenahgamn.com,craneservicemenahgamn.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Jordan's Crane & Rigging Inc,jordanscrane.com,jordanscrane.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Jordan Seeds Inc.,jordanseeds.com,jordanseeds.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Kamtek Industrial Services Inc,kamtekindustrial.com,kamtekindustrial.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
"Kato Engineering, Inc.",katoengineering.com,katoengineering.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Kaye Corporation,kayecorp.com,kayecorp.com,original,,Unsure,unknown,AI review (name/domain),,"ambiguous name, not verified",
"KESTELOOT ENTERPRISES, INC.",kestelootenterprises.com,kestelootenterprises.com,original,,Unsure,unknown,AI review (name/domain),,"ambiguous name, not verified",
Kibble Equipment,kibbleeq.com,kibbleeq.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Kirby Construction Equipment Rentals,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""construction equip""",missing
Knutson Construction Equipment Yard,knutsonconstruction.com,knutsonconstruction.com,original,,Yes,,name/domain rules,,"name: ""construction equip""",
Koenig & Sons Equipment,koenigandsons.com,koenigandsons.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Kraemer Construction Inc,kraemercrane-steel.com,kraemercrane-steel.com,original,,Yes,,name/domain rules,,"domain: ""crane""",
Kuehn's Crane Service,kuehnscraneservice.com,kuehnscraneservice.com,original,,Yes,,name/domain rules,,"name: ""cranes""",
Kugler Salvage Inc,kuglersalvage.com,kuglersalvage.com,original,,No,unrelated,AI review (name/domain),,not a heavy equipment business,
Lafayette Lift Trucks,lifttrucksmn.com,lifttrucksmn.com,original,,Yes,,name/domain rules,,"name: ""lift trucks""",
Lake Henry Implement Inc,lakehenryimplement.com,lakehenryimplement.com,original,,Yes,,name/domain rules,,"name: ""implements""",
Lakeland Engineering Equipment Company - Rentals,rentals.lakelandengineering.com,rentals.lakelandengineering.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Lakeshore Equipment Company,lakeshoreequipment.com,lakeshoreequipment.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Landwehr Construction Inc,landwehrconstruction.com,landwehrconstruction.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Lano Equipment - Anoka,lanoequip.com,lanoequip.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Lano Equipment of Norwood Inc,lanoequipofnorwood.com,lanoequipofnorwood.com,original,,Yes,,name/domain rules,,"name: ""equipment""",
Larson Implement Farm Equipment,larsonimplements.com,larsonimplements.com,original,,Yes,,name/domain rules,,"name: ""farm equip""",
Lieske Tractor,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""tractors""",missing
Lloyd Lumber Co / Lloyd Lumber Rental,lloydlumberco.com,lloydlumberco.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
London Road Rental Center,londonroadrental.com,londonroadrental.com,original,,Yes,,name/domain rules,,"name: ""rental (center|centre)""",
"Luther Towing & Service, Inc.",luthertowingservice.com,luthertowingservice.com,original,,No,,name/domain rules,,"name: non-heavy-equipment term ""towing""",
Lyle's Sales & Services,,,not_researched,,Unsure,unknown,AI review (name only),,"domain not researched (web-search limit reached); ambiguous term ""services""",missing
M&M Express Sales and Service,mmexpresssales.com,mmexpresssales.com,original,,Unsure,unknown,AI review (name/domain),,"ambiguous name, not verified",
Machine Shop Supply,,,not_researched,,Yes,,name/domain rules,,"domain not researched (web-search limit reached); name: ""machines""",missing
Machinesused.com,machinesused.com,machinesused.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
Manders Diesel,mandersdiesel.com,mandersdiesel.com,original,,Yes,equipment/truck,AI review (name/domain),,name/domain indicate heavy equipment or truck business,
